paper,category,gunning_fog_index,passive_voice_percentage,average_sentence_length,flesch_kincaid_grade_level,sentence_length_variation,coleman_liau_index,lexical_density,perplexity
R006.pdf,CVPR,14.66349710630682,26.111111111111114,9.819241982507288,10.29791249027052,9.375669927926278,8.947057882101895,0.7419871794871795,2309.2196895567504
R007.pdf,CVPR,13.493898449722659,29.646017699115045,10.708245243128964,9.796305462054292,11.148027427553249,9.179630836047775,0.7558455682436107,3296.796469525135
R009.pdf,EMNLP,15.123001565095695,26.582278481012654,12.557553956834532,11.729054692883356,11.516734639240664,9.923710116250305,0.7002226069750186,2141.83655282687
R008.pdf,EMNLP,12.252604582484341,25.247524752475247,11.395744680851063,9.050104508173561,12.00198489695463,8.795864465682016,0.6836788016025083,2900.527873465272
R011.pdf,KDD,16.64161337777138,12.393162393162394,11.29054054054054,13.149954035407127,10.579335657358602,11.909924865831837,0.7140042979942693,2399.6901302627593
R010.pdf,KDD,11.582926577820379,31.986531986531986,9.453282828282829,8.524038108426652,11.587625728816032,6.74520311954371,0.7199580810433163,4459.049415364475
R012.pdf,NeurIPS,14.512537022078625,23.89937106918239,16.611702127659573,11.498269638529887,10.060628511128499,7.5972039039831145,0.6792602377807133,1693.6165306245653
R013.pdf,NeurIPS,14.353378214388904,17.91044776119403,17.808290155440414,11.366577853221614,8.847559522922959,5.599539276664363,0.7009497336113042,2072.39702361663
R015.pdf,TMLR,12.659430824500786,15.346534653465346,13.622727272727273,9.494446231942796,11.14851933985291,3.128617626964246,0.748575336220652,1554.165557005823
R014.pdf,TMLR,15.662742770619097,34.196891191709845,18.506437768240342,12.058104477441596,12.009338344895555,6.975283126787414,0.669214599656029,2497.981955639456
R005.pdf,non_publishable,24.23997414419995,29.71698113207547,32.30232558139535,19.875530986560367,9.771184222155423,13.568428739079408,0.6142913026470205,2516.151693615363
R001.pdf,non_publishable,33.113207827504475,55.84415584415584,56.1125,28.775163680401665,87.25107359654666,13.095108949021991,0.5855883247187595,1836.4021201217467
R002.pdf,non_publishable,27.820011684241447,50.62240663900415,41.49795918367347,23.86048107120609,14.722362412966955,13.809742944454428,0.5786587558432219,1969.2689291685238
R003.pdf,non_publishable,42.20741498587158,43.84615384615385,74.84210526315789,37.41482205495468,113.71285840658673,13.823793718772304,0.6087615988579586,2494.3779742020965
R004.pdf,non_publishable,23.97185783227608,31.428571428571427,29.51578947368421,20.236983640392143,10.493971359930761,14.275794839120742,0.6543485186365084,1781.0200191484396
